
#################################
(sequential binary merge, max_mem=6768902070)
# elapsed time (mergesort_seq): 4143.79s
# elapsed time (mergesort_seq): 4860.71s
# elapsed time (mergesort_seq): 3953.92s
#################################
(sequential kway merge, max_mem=6768902070)
# elapsed time (mergesort_seq): 3904.48s
# elapsed time (mergesort_seq): 4104.86s
# elapsed time (mergesort_seq): 3878.73s
#################################
(nthreads=4, max_mem=6768902070)
# elapsed time (mergesort_omp): 1062.87s
# elapsed time (mergesort_ff): 1019.87s
# elapsed time (mergesort_omp): 1026.99s
# elapsed time (mergesort_ff): 1005.34s
# elapsed time (mergesort_omp): 1037.11s
# elapsed time (mergesort_ff): 1055.18s
#################################
(nthreads=8, max_mem=6768902070)
# elapsed time (mergesort_omp): 1227.51s
# elapsed time (mergesort_ff): 1181.75s
# elapsed time (mergesort_omp): 1126.37s
# elapsed time (mergesort_ff): 1138.94s
# elapsed time (mergesort_omp): 1194.04s
# elapsed time (mergesort_ff): 1176.93s
#################################
(nthreads=12, max_mem=6768902070)
# elapsed time (mergesort_omp): 1420.19s
# elapsed time (mergesort_ff): 1293.47s
# elapsed time (mergesort_omp): 1374.25s
# elapsed time (mergesort_ff): 1285.81s
# elapsed time (mergesort_omp): 1483.82s
# elapsed time (mergesort_ff): 1318.89s
#################################
(nthreads=16, max_mem=6768902070)
# elapsed time (mergesort_omp): 1510.04s
# elapsed time (mergesort_ff): 1534.94s
# elapsed time (mergesort_omp): 1542.35s
# elapsed time (mergesort_ff): 1467.88s
# elapsed time (mergesort_omp): 1799s
# elapsed time (mergesort_ff): 1342.48s
#################################
(nthreads=20, max_mem=6768902070)
# elapsed time (mergesort_omp): 1595.69s
# elapsed time (mergesort_ff): 1504.74s
# elapsed time (mergesort_omp): 1695.43s
# elapsed time (mergesort_ff): 1635.41s
# elapsed time (mergesort_omp): 1564.5s
# elapsed time (mergesort_ff): 1551.86s
#################################
(nthreads=32, max_mem=6768902070)
# elapsed time (mergesort_omp): 1848.48s
# elapsed time (mergesort_ff): 1771.54s
# elapsed time (mergesort_omp): 1742.92s
# elapsed time (mergesort_ff): 1769.68s
# elapsed time (mergesort_omp): 1923.42s
# elapsed time (mergesort_ff): 1792.56s
#################################
(nthreads=48, max_mem=6768902070)
# elapsed time (mergesort_omp): 2303.48s
# elapsed time (mergesort_ff): 2190.2s
# elapsed time (mergesort_omp): 2111.43s
# elapsed time (mergesort_ff): 2246.56s
# elapsed time (mergesort_omp): 2053.41s
# elapsed time (mergesort_ff): 2168.84s
#################################
(nthreads=64, max_mem=6768902070)
# elapsed time (mergesort_omp): 2323.41s
# elapsed time (mergesort_ff): 2282.57s
# elapsed time (mergesort_omp): 2427.58s
# elapsed time (mergesort_ff): 2453.46s
# elapsed time (mergesort_omp): 2304.68s
# elapsed time (mergesort_ff): 2394.97s
#################################
(nthreads=80, max_mem=6768902070)
# elapsed time (mergesort_omp): 2440.26s
# elapsed time (mergesort_ff): 2777.54s
# elapsed time (mergesort_omp): 2660.37s
# elapsed time (mergesort_ff): 2862.99s
# elapsed time (mergesort_omp): 2572.02s
# elapsed time (mergesort_ff): 2917.44s
#################################
