
#################################
(sequential binary merge, max_mem=)
# elapsed time (mergesort_seq): 13.7448s
# elapsed time (mergesort_seq): 10.8295s
# elapsed time (mergesort_seq): 11.673s
#################################
(sequential kway merge, max_mem=23801894)
# elapsed time (mergesort_seq): 8.86487s
# elapsed time (mergesort_seq): 8.68562s
# elapsed time (mergesort_seq): 9.50889s
#################################
(nthreads=2, max_mem=23801894)
# elapsed time (mergesort_omp): 6.28334s
# elapsed time (mergesort_ff): 10.0832s
# elapsed time (mergesort_omp): 6.45927s
# elapsed time (mergesort_ff): 10.4852s
# elapsed time (mergesort_omp): 7.32476s
# elapsed time (mergesort_ff): 10.8166s
#################################
(nthreads=4, max_mem=23801894)
# elapsed time (mergesort_omp): 4.11227s
# elapsed time (mergesort_ff): 5.27754s
# elapsed time (mergesort_omp): 4.23435s
# elapsed time (mergesort_ff): 5.69139s
# elapsed time (mergesort_omp): 4.65277s
# elapsed time (mergesort_ff): 5.50685s
#################################
(nthreads=6, max_mem=23801894)
# elapsed time (mergesort_omp): 3.36369s
# elapsed time (mergesort_ff): 4.30349s
# elapsed time (mergesort_omp): 3.65446s
# elapsed time (mergesort_ff): 4.14719s
# elapsed time (mergesort_omp): 3.40904s
# elapsed time (mergesort_ff): 4.67938s
#################################
(nthreads=8, max_mem=23801894)
# elapsed time (mergesort_omp): 3.25096s
# elapsed time (mergesort_ff): 5.61538s
# elapsed time (mergesort_omp): 3.35916s
# elapsed time (mergesort_ff): 5.61813s
# elapsed time (mergesort_omp): 3.79131s
# elapsed time (mergesort_ff): 5.6163s
#################################
(nthreads=10, max_mem=23801894)
# elapsed time (mergesort_omp): 3.39046s
# elapsed time (mergesort_ff): 4.59358s
# elapsed time (mergesort_omp): 3.46555s
# elapsed time (mergesort_ff): 5.12897s
# elapsed time (mergesort_omp): 3.2238s
# elapsed time (mergesort_ff): 5.04118s
#################################
(nthreads=14, max_mem=23801894)
# elapsed time (mergesort_omp): 3.43718s
# elapsed time (mergesort_ff): 7.15888s
# elapsed time (mergesort_omp): 3.94699s
# elapsed time (mergesort_ff): 6.39263s
# elapsed time (mergesort_omp): 3.39801s
# elapsed time (mergesort_ff): 5.82077s
#################################
(nthreads=18, max_mem=23801894)
# elapsed time (mergesort_omp): 3.21882s
# elapsed time (mergesort_ff): 8.93628s
# elapsed time (mergesort_omp): 3.41275s
# elapsed time (mergesort_ff): 6.86301s
# elapsed time (mergesort_omp): 3.48932s
# elapsed time (mergesort_ff): 8.18619s
#################################
(nthreads=22, max_mem=23801894)
# elapsed time (mergesort_omp): 3.54516s
# elapsed time (mergesort_ff): 8.11531s
# elapsed time (mergesort_omp): 3.44101s
# elapsed time (mergesort_ff): 7.06651s
# elapsed time (mergesort_omp): 3.47163s
# elapsed time (mergesort_ff): 7.25757s
#################################
(nthreads=26, max_mem=23801894)
# elapsed time (mergesort_omp): 3.24318s
# elapsed time (mergesort_ff): 11.4483s
# elapsed time (mergesort_omp): 3.30576s
# elapsed time (mergesort_ff): 11.7076s
# elapsed time (mergesort_omp): 3.36296s
# elapsed time (mergesort_ff): 7.70763s
#################################
(nthreads=32, max_mem=23801894)
# elapsed time (mergesort_omp): 3.40632s
# elapsed time (mergesort_ff): 12.1045s
# elapsed time (mergesort_omp): 3.77625s
# elapsed time (mergesort_ff): 6.97955s
# elapsed time (mergesort_omp): 3.35614s
# elapsed time (mergesort_ff): 9.66727s
#################################
