
#################################
(sequential binary merge, max_mem=)
# elapsed time (mergesort_seq): 302.748s
# elapsed time (mergesort_seq): 307.398s
# elapsed time (mergesort_seq): 302.679s
#################################
(sequential kway merge, max_mem=991680750)
# elapsed time (mergesort_seq): 295.912s
# elapsed time (mergesort_seq): 288.664s
# elapsed time (mergesort_seq): 288.774s
#################################
(nthreads=2, max_mem=991680750)
# elapsed time (mergesort_omp): 189.786s
# elapsed time (mergesort_ff): 191.148s
# elapsed time (mergesort_omp): 193.235s
# elapsed time (mergesort_ff): 191.751s
# elapsed time (mergesort_omp): 189.825s
# elapsed time (mergesort_ff): 201.297s
#################################
(nthreads=4, max_mem=991680750)
# elapsed time (mergesort_omp): 104.531s
# elapsed time (mergesort_ff): 122.601s
# elapsed time (mergesort_omp): 106.33s
# elapsed time (mergesort_ff): 120.666s
# elapsed time (mergesort_omp): 107.779s
# elapsed time (mergesort_ff): 120.122s
#################################
(nthreads=6, max_mem=991680750)
# elapsed time (mergesort_omp): 81.4583s
# elapsed time (mergesort_ff): 115.84s
# elapsed time (mergesort_omp): 79.3067s
# elapsed time (mergesort_ff): 114.895s
# elapsed time (mergesort_omp): 81.2666s
# elapsed time (mergesort_ff): 115.456s
#################################
(nthreads=8, max_mem=991680750)
# elapsed time (mergesort_omp): 67.3238s
# elapsed time (mergesort_ff): 96.1177s
# elapsed time (mergesort_omp): 69.1719s
# elapsed time (mergesort_ff): 95.4285s
# elapsed time (mergesort_omp): 67.4898s
# elapsed time (mergesort_ff): 96.3959s
#################################
(nthreads=10, max_mem=991680750)
# elapsed time (mergesort_omp): 59.618s
# elapsed time (mergesort_ff): 111.507s
# elapsed time (mergesort_omp): 64.3941s
# elapsed time (mergesort_ff): 110.755s
# elapsed time (mergesort_omp): 61.5881s
# elapsed time (mergesort_ff): 110.742s
#################################
(nthreads=14, max_mem=991680750)
# elapsed time (mergesort_omp): 56.7797s
# elapsed time (mergesort_ff): 94.9252s
# elapsed time (mergesort_omp): 54.0727s
# elapsed time (mergesort_ff): 94.2809s
# elapsed time (mergesort_omp): 53.7376s
# elapsed time (mergesort_ff): 94.6159s
#################################
(nthreads=18, max_mem=991680750)
# elapsed time (mergesort_omp): 51.6338s
# elapsed time (mergesort_ff): 142.519s
# elapsed time (mergesort_omp): 50.7635s
# elapsed time (mergesort_ff): 142.338s
# elapsed time (mergesort_omp): 51.9564s
# elapsed time (mergesort_ff): 143.547s
#################################
(nthreads=22, max_mem=991680750)
# elapsed time (mergesort_omp): 49.0502s
# elapsed time (mergesort_ff): 145.792s
# elapsed time (mergesort_omp): 51.5075s
# elapsed time (mergesort_ff): 146.359s
# elapsed time (mergesort_omp): 50.7518s
# elapsed time (mergesort_ff): 147.791s
#################################
(nthreads=26, max_mem=991680750)
# elapsed time (mergesort_omp): 46.9575s
# elapsed time (mergesort_ff): 127.937s
# elapsed time (mergesort_omp): 48.2585s
# elapsed time (mergesort_ff): 126.763s
# elapsed time (mergesort_omp): 47.7909s
# elapsed time (mergesort_ff): 129.585s
#################################
(nthreads=32, max_mem=991680750)
# elapsed time (mergesort_omp): 45.4786s
# elapsed time (mergesort_ff): 141.072s
# elapsed time (mergesort_omp): 46.7246s
# elapsed time (mergesort_ff): 142.463s
# elapsed time (mergesort_omp): 46.906s
# elapsed time (mergesort_ff): 140.113s
#################################
#################################
